stage_index,stage_slug,human_notation,layer,role,relative_path,sha256,bytes,scope_note
4,gradient_field,nabla I_0,patch,numeric temporal training patch,01_workflow_stages/04_gradient_field/09_temporal_patch.mat,c185796370a1d203a90f4f93a4363e2f1ad22264bced75f7be6e3cbe7c4634c2,5073907,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
5,laplacian_curvature,Delta I_0,base,numeric visual source,01_workflow_stages/05_laplacian_curvature/00_base.png,73344872c1d513a44a00342db5c85fb8bded2556ec725f9d76bf4d24f4beff98,540659,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
5,laplacian_curvature,Delta I_0,visible,high visibility embedding,01_workflow_stages/05_laplacian_curvature/01_visible.png,496253808d36faea37b1a9c4f07abb5566d73948b6033170d9bed45af3e617ad,542625,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
5,laplacian_curvature,Delta I_0,balanced,balanced embedding,01_workflow_stages/05_laplacian_curvature/02_balanced.png,e8f455494d3000b091f00d9fd423800a6a1423b75f955cc0412ac0fd51937375,542692,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
5,laplacian_curvature,Delta I_0,structural,base-preserving structural embedding,01_workflow_stages/05_laplacian_curvature/03_structural.png,2da4429731d20249a4042840f3c3069c81e56840e07677486173b5a6598b989e,541897,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
5,laplacian_curvature,Delta I_0,mask,human-symbol structural mask,01_workflow_stages/05_laplacian_curvature/04_mask.png,b5830a13d2ef99cf0633320ed2807b329a4f7e024959af2a40b5226b9daf6312,31031,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
5,laplacian_curvature,Delta I_0,projection,temporal projection map,01_workflow_stages/05_laplacian_curvature/05_projection_map.png,1f61d68e65f5b769f0a5d2ade1bcc68a168c44c81f518e0bb1b9bc657cd39c23,41119,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
5,laplacian_curvature,Delta I_0,motion,motion energy,01_workflow_stages/05_laplacian_curvature/06_motion_energy.png,d71e42bd582e6bd0dd4c92aefb441b094793561294b2086f9bf943979440fba1,52590,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
5,laplacian_curvature,Delta I_0,delta,temporal delta,01_workflow_stages/05_laplacian_curvature/07_temporal_delta.png,9e9bbaadb989dab99056b1810730f8f5a1cfdb78c07f6f0f8a14b09b048ee3a9,56131,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
5,laplacian_curvature,Delta I_0,frames,eight-frame temporal sheet,01_workflow_stages/05_laplacian_curvature/08_framesheet.png,bae88678836668edfbf0aca12822b8b15bd428589498ed109613092644c98584,1360539,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
5,laplacian_curvature,Delta I_0,patch,numeric temporal training patch,01_workflow_stages/05_laplacian_curvature/09_temporal_patch.mat,41773ff71bcd1a760cd0903fed1cbd6d3da7bf2f17f5137ebe2b41d902053889,5141405,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
6,spectral_projection,F{I_0},base,numeric visual source,01_workflow_stages/06_spectral_projection/00_base.png,888fa5c198e21d7bfeea256da27ad7ba94cc7f6778bebc614889ccc97b811c3b,748125,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
6,spectral_projection,F{I_0},visible,high visibility embedding,01_workflow_stages/06_spectral_projection/01_visible.png,ecb0be46634e306ae2563851d03d0ee1847abad60d77b5c95ec4baeb8a731ae8,747174,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
6,spectral_projection,F{I_0},balanced,balanced embedding,01_workflow_stages/06_spectral_projection/02_balanced.png,0aabf5919ff9fcf153a20cdbb7d60d26b4add7eda1caf49011a94b6f227644cf,747501,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
6,spectral_projection,F{I_0},structural,base-preserving structural embedding,01_workflow_stages/06_spectral_projection/03_structural.png,6d7a2605d1a26500ddeace91d44d1eca07e2a390d4da3157a77ad7c049ae301c,747738,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
6,spectral_projection,F{I_0},mask,human-symbol structural mask,01_workflow_stages/06_spectral_projection/04_mask.png,5a88532541e59dc84d8f1611f94b1a9f1f5be9fa49b069ef115341f234da5c1c,32154,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
6,spectral_projection,F{I_0},projection,temporal projection map,01_workflow_stages/06_spectral_projection/05_projection_map.png,64d21cc86eb7159f8911ce499bb7bc95482d7ab83cc43cbda9d010756b957ad4,42106,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
6,spectral_projection,F{I_0},motion,motion energy,01_workflow_stages/06_spectral_projection/06_motion_energy.png,dd979294a1482cbd0945a2d70d94e5237d63947c53b960b44dd91c45fb6049eb,58050,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
6,spectral_projection,F{I_0},delta,temporal delta,01_workflow_stages/06_spectral_projection/07_temporal_delta.png,6267cdcd06b6ea3fa8dd60c85735e063d8c45fe533e1c94144c37e407170b172,61735,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
6,spectral_projection,F{I_0},frames,eight-frame temporal sheet,01_workflow_stages/06_spectral_projection/08_framesheet.png,5628589383ede49f3331bd5ceb80245d35a0daaa5e92bc60618b3738d06ff7a6,1785068,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
6,spectral_projection,F{I_0},patch,numeric temporal training patch,01_workflow_stages/06_spectral_projection/09_temporal_patch.mat,0a757d4c3166b1ea33f2899b3d4e4caf895c02c4a8bf532cbfef8f8dbd44e7dc,5111078,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
7,oriented_features,"F_V1(theta,s)",base,numeric visual source,01_workflow_stages/07_oriented_features/00_base.png,9d9ff44063489c7d8d959b3ecda5c8347fa0673e8cd5ee1c31f0858b04e34573,436559,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
7,oriented_features,"F_V1(theta,s)",visible,high visibility embedding,01_workflow_stages/07_oriented_features/01_visible.png,3043712a250eb78ae213169286fef54c101b1138a0347939b969051d0742730b,444345,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
7,oriented_features,"F_V1(theta,s)",balanced,balanced embedding,01_workflow_stages/07_oriented_features/02_balanced.png,8ae6876b7d4653d941a4f9bb7a734f20b8fda6a2fea5b0b05235ab8b56ec51b3,442813,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
7,oriented_features,"F_V1(theta,s)",structural,base-preserving structural embedding,01_workflow_stages/07_oriented_features/03_structural.png,74e966cdfe9f65b493535f4796139b3ac823a478feb7c34fae87e28a51a0158b,439865,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
7,oriented_features,"F_V1(theta,s)",mask,human-symbol structural mask,01_workflow_stages/07_oriented_features/04_mask.png,20bd8b24cfb1f89e804308319bcdbd18325102fc63d246cd25822b5a3b9191a2,34057,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
7,oriented_features,"F_V1(theta,s)",projection,temporal projection map,01_workflow_stages/07_oriented_features/05_projection_map.png,91264f0d26e273b4719fc640693f6003075a552009748f6e17bfb34a1ff3f7da,46091,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
7,oriented_features,"F_V1(theta,s)",motion,motion energy,01_workflow_stages/07_oriented_features/06_motion_energy.png,6c90886c58ccc9ec4bbf1f1afbc8c2ae090516c5b181476148c2dc3c2ab55857,55460,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
7,oriented_features,"F_V1(theta,s)",delta,temporal delta,01_workflow_stages/07_oriented_features/07_temporal_delta.png,9a005d0eb5da4b92c10a21f93af29908d100fc376faf1bedf424db73af1b187d,59776,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
7,oriented_features,"F_V1(theta,s)",frames,eight-frame temporal sheet,01_workflow_stages/07_oriented_features/08_framesheet.png,239676003c9de72ab3821ff8fbad751a423361d293077637cf30c2b5e0593cae,1150271,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
7,oriented_features,"F_V1(theta,s)",patch,numeric temporal training patch,01_workflow_stages/07_oriented_features/09_temporal_patch.mat,05b018614ed42ed9b4003a31995e20ce20c1a55ee65b259e75e515f1f71c33ca,5383228,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
8,salience_energy,"E(x,y)",base,numeric visual source,01_workflow_stages/08_salience_energy/00_base.png,19dcdc20cb36ff8b8bfb1a3d9eb2b673c29a557e502d7dd261d988d7d47c8a7a,497662,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
8,salience_energy,"E(x,y)",visible,high visibility embedding,01_workflow_stages/08_salience_energy/01_visible.png,0161a4fe08744cb6523db693a318bde9f0f9fd03fa8349c79497ce46a7a9552f,502438,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
8,salience_energy,"E(x,y)",balanced,balanced embedding,01_workflow_stages/08_salience_energy/02_balanced.png,62ee8a5fd8570dfeefef885846788ca4c73e20ca3016cbaa1245011cf1e8fed3,501521,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
8,salience_energy,"E(x,y)",structural,base-preserving structural embedding,01_workflow_stages/08_salience_energy/03_structural.png,13435ff47668e74fb6f023744e040962b0963da05adcd4614410c8ffe48ebd46,499644,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
8,salience_energy,"E(x,y)",mask,human-symbol structural mask,01_workflow_stages/08_salience_energy/04_mask.png,fb7f82afe449fee00657ca08bd8c48fe016df86dc28110d582d19ccbfe8c4b99,31629,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
8,salience_energy,"E(x,y)",projection,temporal projection map,01_workflow_stages/08_salience_energy/05_projection_map.png,a30a19c1594f866443e1faa944f53c55bf8d7d9911fc5bba936855e465d59e2b,43141,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
8,salience_energy,"E(x,y)",motion,motion energy,01_workflow_stages/08_salience_energy/06_motion_energy.png,0b344512646b3d615e210fb3ccae043dd14e0a74ce52f60c7b70ace3b1db0f25,52675,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
8,salience_energy,"E(x,y)",delta,temporal delta,01_workflow_stages/08_salience_energy/07_temporal_delta.png,f282237397ee13ecf4eb947b90bb6e6fb54acbd6bcbdb8efbb59fde4954ae4e1,57031,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
8,salience_energy,"E(x,y)",frames,eight-frame temporal sheet,01_workflow_stages/08_salience_energy/08_framesheet.png,2af35bd1efe70551e93bb2af0d4031c234df0c7a33de902326d88cafa0aa5652,1263316,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
8,salience_energy,"E(x,y)",patch,numeric temporal training patch,01_workflow_stages/08_salience_energy/09_temporal_patch.mat,556453b139dedb79d65d0b0f057d01179c87a5f753243b3f8f71b3425cfb9a77,5194792,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
9,phase_winding,omega = integral nabla phi dl,base,numeric visual source,01_workflow_stages/09_phase_winding/00_base.png,f559def9ca23c0a2101c5e9589b485aca70a03ea611ed9cc4ebaa95171094e97,581896,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
9,phase_winding,omega = integral nabla phi dl,visible,high visibility embedding,01_workflow_stages/09_phase_winding/01_visible.png,1c56dfea05b393170279c9f32efb850df0b6083c9cb2d36d3b3e425135cfc2ce,586015,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
9,phase_winding,omega = integral nabla phi dl,balanced,balanced embedding,01_workflow_stages/09_phase_winding/02_balanced.png,9d2ce0bbd9d81fe76ed833feb4be2079d539c571df591acc4893a7da35a369fb,585523,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
9,phase_winding,omega = integral nabla phi dl,structural,base-preserving structural embedding,01_workflow_stages/09_phase_winding/03_structural.png,b8eaebda04f6ec4634c3eec857b53697c72df6bb43f60ea5e77d403662a24814,584481,Derived visual-learning workflow. The canonical H5 supplies the numeric field; human notation is intentionally constructed as structural geometry and is not claimed to exist semantically in the source H5.
